episode,mode,mode_episode,score,reward,epsilon
660,train,660,17,15,0.961286
661,train,661,0,-2,0.961228
662,train,662,11,9,0.96117
663,train,663,19,17,0.961113
664,train,664,15,13,0.961055
665,train,665,4,2,0.960998
666,train,666,3,1,0.96094
667,train,667,24,22,0.960882
668,train,668,5,3,0.960825
669,train,669,0,-2,0.960767
670,train,670,2,0,0.96071
671,train,671,2,0,0.960652
672,train,672,47,45,0.960595
673,train,673,15,13,0.960537
674,train,674,2,0,0.96048
675,train,675,0,-2,0.960422
676,train,676,7,5,0.960364
677,train,677,19,17,0.960307
678,train,678,14,12,0.960249
679,train,679,26,24,0.960192
680,train,680,0,-2,0.960134
681,train,681,0,-2,0.960077
682,train,682,1,-1,0.960019
683,train,683,30,28,0.959962
684,train,684,0,-2,0.959904
685,train,685,0,-2,0.959847
686,train,686,29,27,0.959789
687,train,687,1,-1,0.959732
688,train,688,20,18,0.959674
689,train,689,22,20,0.959617
690,train,690,5,3,0.959559
691,train,691,34,32,0.959502
692,train,692,4,2,0.959444
693,train,693,0,-2,0.959387
694,train,694,0,-2,0.959329
695,train,695,9,7,0.959272
696,train,696,29,27,0.959214
697,train,697,43,41,0.959157
698,train,698,16,14,0.959099
699,train,699,9,7,0.959042
700,train,700,0,-2,0.958985
701,train,701,11,9,0.958927
702,train,702,13,11,0.95887
703,train,703,0,-2,0.958812
704,train,704,0,-2,0.958755
705,train,705,38,36,0.958697
706,train,706,0,-2,0.95864
707,train,707,0,-2,0.958582
708,train,708,0,-2,0.958525
709,train,709,19,17,0.958468
710,train,710,5,3,0.95841
711,train,711,4,2,0.958353
712,train,712,22,20,0.958295
713,train,713,33,31,0.958238
714,train,714,24,22,0.95818
715,train,715,11,9,0.958123
716,train,716,31,29,0.958066
717,train,717,0,-2,0.958008
718,train,718,0,-2,0.957951
719,train,719,29,27,0.957893
720,train,720,0,-2,0.957836
721,train,721,27,25,0.957779
722,train,722,31,29,0.957721
723,train,723,6,4,0.957664
724,train,724,28,26,0.957607
725,train,725,0,-2,0.957549
726,train,726,9,7,0.957492
727,train,727,21,19,0.957434
728,train,728,0,-2,0.957377
729,train,729,33,31,0.95732
730,train,730,0,-2,0.957262
731,train,731,5,3,0.957205
732,train,732,43,41,0.957148
733,train,733,0,-2,0.95709
734,train,734,2,0,0.957033
735,train,735,30,28,0.956976
736,train,736,4,2,0.956918
737,train,737,2,0,0.956861
738,train,738,0,-2,0.956804
739,train,739,38,36,0.956746
740,train,740,0,-2,0.956689
741,train,741,28,26,0.956632
